"","Isolate","Accession_number","Collection_time","Country","Continent","Clade","Source"
"82","ERR067620","ERR067620",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"83","ERR067695","ERR067695",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"84","ERR137222","ERR137222",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"85","ERR133902","ERR133902",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"86","ERR137204","ERR137204",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"87","ERR234653","ERR234653",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"88","ERR067613","ERR067613",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"89","ERR227996","ERR227996",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"90","ERR137210","ERR137210",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"91","ERR234660","ERR234660",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"92","ERR108436","ERR108436",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"93","ERR133930","ERR133930",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"94","ERR108473","ERR108473",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"95","ERR234641","ERR234641",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"96","ERR133826","ERR133826",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"97","ERR133854","ERR133854",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"98","ERR144632","ERR144632",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"99","ERR067576","ERR067576",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"100","ERR228029","ERR228029",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"101","ERR137225","ERR137225",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"102","ERR234615","ERR234615",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"103","ERR228019","ERR228019",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"104","ERR133845","ERR133845",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"105","ERR067698","ERR067698",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"106","ERR133868","ERR133868",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
