"","Isolate","Accession_number","Collection_time","Location","Global_clade","Source"
"554","A/Oman/5191/2016","EPI_ISL_233476",2016.436,"Oman","3C.2a","GISAID"
"555","A/Wisconsin/20/2015","EPI_ISL_176732",2015.149,"Wisconsin","3C.2a","GISAID"
"556","A/Nebraska/19/2015","EPI_ISL_205651",2015.81,"Nebraska","3C.2a","GISAID"
"557","A/Sendai-H/N280/2015","EPI_ISL_195751",2015.558,"Sendai-H","3C.2a","GISAID"
"558","A/Yokohama/109/2016","EPI_ISL_222745",2016.184,"Yokohama","3C.2a","GISAID"
"559","A/Washington/37/2015","EPI_ISL_191684",2015.344,"Washington","3C.2a","GISAID"
"560","A/Kilifi/99/2015","EPI_ISL_393936",2015.955,"Kilifi","3C.2a","GISAID"
"561","A/Uganda/215/2017","EPI_ISL_255341",2017.059,"Uganda","3C.2a","GISAID"
"562","A/Uganda/1610/2016","EPI_ISL_226798",2016.116,"Uganda","3C.2a","GISAID"
"563","A/SouthAfrica/R2665/2015","EPI_ISL_193193",2015.396,"SouthAfrica","3C.2a","GISAID"
"564","A/Wellington/7/2015","EPI_ISL_198075",2015.459,"Wellington","3C.2a","GISAID"
"565","A/Victoria/898/2015","EPI_ISL_202758",2015.648,"Victoria","3C.2a","GISAID"
"566","A/Townsville/37/2015","EPI_ISL_220144",2015.796,"Townsville","3C.2a","GISAID"
"567","A/Athens/2282/2015","EPI_ISL_213072",2015.958,"Athens","3C.2a","GISAID"
"568","A/Wellington/4/2015","EPI_ISL_202671",2015.538,"Wellington","3C.2a","GISAID"
"569","A/Townsville/38/2015","EPI_ISL_239844",2016.086,"Townsville","3C.2a","GISAID"
"570","A/Victoria/944/2014","EPI_ISL_15146470",2014.84,"Victoria","3C.2a","GISAID"
"571","A/Tak/150/2015","EPI_ISL_197939",2015.308,"Tak","3C.2a","GISAID"
"572","A/NewJersey/26/2014","EPI_ISL_169307",2014.878,"NewJersey","3C.2a","GISAID"
"573","A/Yokohama/88/2015","EPI_ISL_191754",2015.3,"Yokohama","3C.2a","GISAID"
"574","A/Finland/462/2014","EPI_ISL_175021",2014.768,"Finland","3C.2a","GISAID"
"575","A/Wisconsin/24/2015","EPI_ISL_178994",2015.185,"Wisconsin","3C.2a","GISAID"
"576","A/Wisconsin/9/2015","EPI_ISL_176658",2015.133,"Wisconsin","3C.2a","GISAID"
"577","A/Ukraine/6809/2015","EPI_ISL_190939",2015.281,"Ukraine","3C.2a","GISAID"
"578","A/YoshkarOla/CRIE-80/2015","EPI_ISL_191608",2015.149,"YoshkarOla","3C.2a","GISAID"
"579","A/Moscow/CRIE-145/2015","EPI_ISL_194829",2015.273,"Moscow","3C.2a","GISAID"
"580","A/Yekaterinburg/239/2015","EPI_ISL_205181",2015.174,"Yekaterinburg","3C.2a","GISAID"
"581","A/Tokyo/40778/2014","EPI_ISL_167130",2014.571,"Tokyo","3C.2a","GISAID"
"582","A/Saitama/103/2014-egg","EPI_ISL_218952",2014.878,"Saitama","3C.2a","GISAID"
"583","A/Yokohama/5/2015","EPI_ISL_171885",2015.015,"Yokohama","3C.2a","GISAID"
"584","A/Victoria/509/2015","EPI_ISL_197910",2015.311,"Victoria","3C.2a","GISAID"
"585","A/Yokohama/97/2014","EPI_ISL_169794",2014.867,"Yokohama","3C.2a","GISAID"
"586","A/Saitama/103/2014","EPI_ISL_269605",2014.878,"Saitama","3C.2a","GISAID"
"587","A/NewCaledonia/71/2014","EPI_ISL_15146402",2014.615,"NewCaledonia","3C.2a","GISAID"
"588","A/Yokohama/81/2015","EPI_ISL_188625",2015.166,"Yokohama","3C.2a","GISAID"
"589","A/Finland/504/2015","EPI_ISL_195255",2015.034,"Finland","3C.2a","GISAID"
"590","A/Vietnam/171/2015","EPI_ISL_210369",2015.242,"Vietnam","3C.2a","GISAID"
"591","A/Wyoming/9/2014","EPI_ISL_167402",2014.771,"Wyoming","3C.2a","GISAID"
"592","A/Wyoming/17/2014","EPI_ISL_170020",2014.897,"Wyoming","3C.2a","GISAID"
"593","A/SouthAfrica/5390/2015","EPI_ISL_205284",2015.656,"SouthAfrica","3C.2a","GISAID"
"594","A/PaysdeLoire/664/2015","EPI_ISL_175289",2015.089,"PaysdeLoire","3C.2a","GISAID"
"595","A/Fiji/2/2015","EPI_ISL_194166",2015.166,"Fiji","3C.2a","GISAID"
"596","A/Austria/97/2014","EPI_ISL_166345",2014.637,"Austria","3C.2a","GISAID"
"597","A/Wyoming/2/2015","EPI_ISL_176719",2015.04,"Wyoming","3C.2a","GISAID"
"598","A/Yokohama/55/2015","EPI_ISL_175303",2015.089,"Yokohama","3C.2a","GISAID"
"599","A/Vologda/CRIE-22/2015","EPI_ISL_191573",2015.062,"Vologda","3C.2a","GISAID"
"600","A/Wisconsin/69/2015","EPI_ISL_193322",2015.497,"Wisconsin","3C.2a","GISAID"
"601","A/Yokohama/123/2016","EPI_ISL_224694",2016.411,"Yokohama","3C.2a","GISAID"
"602","A/Stockholm/40/2015","EPI_ISL_213094",2015.632,"Stockholm","3C.2a","GISAID"
"603","A/Parana/293/2016","EPI_ISL_274147",2016.239,"Parana","3C.2a","GISAID"
"604","A/Colombia/7208/2015","EPI_ISL_212054",2015.982,"Colombia","3C.2a","GISAID"
"605","A/Peru/8316/2016","EPI_ISL_240144",2016.633,"Peru","3C.2a","GISAID"
"606","A/SouthAfrica/4363/2016","EPI_ISL_232555",2016.493,"SouthAfrica","3C.2a","GISAID"
"607","A/Texas/183/2016","EPI_ISL_238627",2016.665,"Texas","3C.2a","GISAID"
"608","A/Valparaiso/33881/2016","EPI_ISL_231677",2016.376,"Valparaiso","3C.2a","GISAID"
"609","A/Vina/50464/2016","EPI_ISL_234648",2016.537,"Vina","3C.2a","GISAID"
"610","A/Valparaiso/49572/2016","EPI_ISL_231682",2016.447,"Valparaiso","3C.2a","GISAID"
"611","A/Marseille/2588/2015","EPI_ISL_237635",2015.914,"Marseille","3C.2a3","GISAID"
"612","A/Picardie/973/2017","EPI_ISL_253468",2017.119,"Picardie","3C.2a3","GISAID"
"613","A/Dakar/17/2016","EPI_ISL_264062",2016.668,"Dakar","3C.2a3","GISAID"
"614","A/Nonthaburi/414/2016","EPI_ISL_249987",2016.876,"Nonthaburi","3C.2a3","GISAID"
"615","A/Singapore/TT1374/2016","EPI_ISL_277146",2016.917,"Singapore","3C.2a3","GISAID"
"616","A/Lao/753/2017","EPI_ISL_268301",2017.158,"Lao","3C.2a3","GISAID"
"617","A/Maryland/23/2016","EPI_ISL_249050",2016.903,"Maryland","3C.2a3","GISAID"
"618","A/Ghana/2717/2017","EPI_ISL_292905",2017.705,"Ghana","3C.2a3","GISAID"
"619","A/Poland/MW11K/2017","EPI_ISL_259585",2017.01,"Poland","3C.2a3","GISAID"
"620","A/Moscow/165/2016","EPI_ISL_249007",2016.9,"Moscow","3C.2a3","GISAID"
"621","A/Valladolid/294/2016","EPI_ISL_242816",2016.947,"Valladolid","3C.2a3","GISAID"
"622","A/UlanUde/1/2016","EPI_ISL_259123",2016.933,"UlanUde","3C.2a3","GISAID"
"623","A/Antananarivo/1998/2017","EPI_ISL_277470",2017.336,"Antananarivo","3C.2a3","GISAID"
"624","A/Tunis/14115/2016","EPI_ISL_248462",2016.914,"Tunis","3C.2a3","GISAID"
"625","A/Kazakhstan/6975/2017","EPI_ISL_273632",2017.032,"Kazakhstan","3C.2a3","GISAID"
"626","A/Tanzania/4390/2017","EPI_ISL_273620",2017.292,"Tanzania","3C.2a3","GISAID"
"627","A/Tanzania/4357/2017","EPI_ISL_270211",2017.237,"Tanzania","3C.2a3","GISAID"
"628","A/Venev/RII358S/2016","EPI_ISL_242611",2016.908,"Venev","3C.2a3","GISAID"
"629","A/Volgograd/RII745S/2016","EPI_ISL_242646",2016.824,"Volgograd","3C.2a3","GISAID"
"630","A/Iasi/3816/2016","EPI_ISL_264068",2016.993,"Iasi","3C.2a3","GISAID"
"631","A/Moscow/46/2017","EPI_ISL_273656",2017.144,"Moscow","3C.2a3","GISAID"
"632","A/Belarus/1151/2017","EPI_ISL_257358",2017.051,"Belarus","3C.2a3","GISAID"
"633","A/California/179/2016","EPI_ISL_273709",2016.922,"California","3C.2a3","GISAID"
"634","A/Vaparaiso/39896/2017","EPI_ISL_269752",2017.39,"Vaparaiso","3C.2a3","GISAID"
"635","A/Maldives/158/2017","EPI_ISL_264441",2017.144,"Maldives","3C.2a3","GISAID"
"636","A/Maldives/499/2017","EPI_ISL_264442",2017.221,"Maldives","3C.2a3","GISAID"
"637","A/Tosno/RII718S/2016","EPI_ISL_242640",2016.969,"Tosno","3C.2a3","GISAID"
"638","A/Wellington/5/2017","EPI_ISL_275279",2017.41,"Wellington","3C.2a3","GISAID"
"639","A/Ohio/31/2017","EPI_ISL_275975",2017.563,"Ohio","3C.2a3","GISAID"
"640","A/NewZealand/671/2017","EPI_ISL_275790",2017.492,"NewZealand","3C.2a3","GISAID"
"641","A/Cameroon/4372/2018","EPI_ISL_330674",2018.295,"Cameroon","3C.2a3","GISAID"
"642","A/Togo/1048/2017","EPI_ISL_299893",2017.81,"Togo","3C.2a3","GISAID"
"643","A/Yokohama/112/2018","EPI_ISL_333926",2018.842,"Yokohama","3C.2a3","GISAID"
"644","A/Mali/235/2018","EPI_ISL_355764",2018.867,"Mali","3C.2a3","GISAID"
"645","A/Toulon/2533/2017","EPI_ISL_299068",2017.963,"Toulon","3C.2a3","GISAID"
"646","A/Yunnan-Mengzi/1724/2017","EPI_ISL_285903",2017.637,"Yunnan-Mengzi","3C.2a3","GISAID"
"647","A/Zhejiang-Shangcheng/1153/2018","EPI_ISL_330935",2018.144,"Zhejiang-Shangcheng","3C.2a3","GISAID"
"648","A/HongKong/4994/2017","EPI_ISL_311640",2017.963,"HongKong","3C.2a3","GISAID"
"649","A/Townsville/16/2017","EPI_ISL_312178",2017.911,"Townsville","3C.2a3","GISAID"
"650","A/Choibalsan/3093/2017","EPI_ISL_305002",2017.925,"Choibalsan","3C.2a3","GISAID"
"651","A/Congo/735/2018","EPI_ISL_349709",2018.99,"Congo","3C.2a3","GISAID"
"652","A/Congo/319/2018","EPI_ISL_321915",2018.41,"Congo","3C.2a3","GISAID"
"653","A/Congo/422/2018","EPI_ISL_329853",2018.522,"Congo","3C.2a3","GISAID"
"654","A/HongKong/7127/2014","EPI_ISL_168972",2014.574,"HongKong","3C.2a","GISAID"
"655","A/Victoria/6006/2015","EPI_ISL_17265010",2015.053,"Victoria","3C.2a","GISAID"
"656","A/Toyama/107/2015","EPI_ISL_193034",2015.368,"Toyama","3C.2a","GISAID"
"657","A/Taiwan/596/2015","EPI_ISL_193024",2015.297,"Taiwan","3C.2a","GISAID"
"658","A/Guangdong/724/2015","EPI_ISL_272712",2015.626,"Guangdong","3C.2a","GISAID"
"659","A/Alaska/240/2015","EPI_ISL_202892",2015.705,"Alaska","3C.2a","GISAID"
"660","A/Montana/28/2015","EPI_ISL_201303",2015.73,"Montana","3C.2a","GISAID"
"661","A/Taiwan/805/2015","EPI_ISL_193030",2015.426,"Taiwan","3C.2a","GISAID"
"662","A/Valparaiso/50323/2015","EPI_ISL_203267",2015.56,"Valparaiso","3C.2a","GISAID"
"663","A/Valparaiso/42142/2015","EPI_ISL_194979",2015.475,"Valparaiso","3C.2a","GISAID"
"664","A/Guangdong/616/2015","EPI_ISL_272710",2015.514,"Guangdong","3C.2a","GISAID"
"665","A/Vietnam/95/2015","EPI_ISL_215801",2015.478,"Vietnam","3C.2a","GISAID"
"666","A/Vietnam/106/2015","EPI_ISL_215650",2015.574,"Vietnam","3C.2a","GISAID"
"667","A/Wakayama-C/105/2015","EPI_ISL_201182",2015.623,"Wakayama-C","3C.2a","GISAID"
"668","A/Tokyo/15347/2015","EPI_ISL_208243",2015.771,"Tokyo","3C.2a","GISAID"
"669","A/Washington/45/2015","EPI_ISL_205631",2015.456,"Washington","3C.2a","GISAID"
"670","A/Vietnam/GS150287/2015","EPI_ISL_213026",2015.377,"Vietnam","3C.2a","GISAID"
"671","A/Victoria/922/2015","EPI_ISL_197878",2015.234,"Victoria","3C.2a","GISAID"
"672","A/Wellington/1/2015","EPI_ISL_197949",2015.092,"Wellington","3C.2a","GISAID"
"673","A/Sydney/530/2014","EPI_ISL_288133",2014.925,"Sydney","3C.2a","GISAID"
"674","A/Wisconsin/66/2015","EPI_ISL_191709",2015.303,"Wisconsin","3C.2a","GISAID"
"675","A/Wyoming/20/2014","EPI_ISL_172554",2014.938,"Wyoming","3C.2a","GISAID"
"676","A/RioGrandeDoNorte/134696-IEC/2015","EPI_ISL_200705",2015.267,"RioGrandeDoNorte","3C.2a","GISAID"
"677","A/Austria/842664/2015","EPI_ISL_175588",2015.149,"Austria","3C.2a","GISAID"
"678","A/Victoria/455/2015","EPI_ISL_287815",2015.955,"Victoria","3C.2a","GISAID"
"679","A/Wyoming/19/2015","EPI_ISL_202934",2015.84,"Wyoming","3C.2a","GISAID"
"680","A/Washington/77/2015","EPI_ISL_213032",2015.988,"Washington","3C.2a","GISAID"
"681","A/Tunisia/12370/2015","EPI_ISL_223664",2015.768,"Tunisia","3C.2a","GISAID"
"682","A/SaudiArabia/78764/2015","EPI_ISL_203042",2015.733,"SaudiArabia","3C.2a","GISAID"
"683","A/SouthAfrica/6131/2015","EPI_ISL_205283",2015.747,"SouthAfrica","3C.2a","GISAID"
"684","A/Oman/5287/2015","EPI_ISL_215867",2015.607,"Oman","3C.2a","GISAID"
"685","A/Bangladesh/9015/2015","EPI_ISL_201271",2015.659,"Bangladesh","3C.2a","GISAID"
"686","A/Bangladesh/914007/2015","EPI_ISL_219102",2015.716,"Bangladesh","3C.2a","GISAID"
"687","A/Oman/5691/2015","EPI_ISL_215871",2015.821,"Oman","3C.2a","GISAID"
"688","A/Sydney/9/2016","EPI_ISL_287816",2016.02,"Sydney","3C.2a","GISAID"
"689","A/England/53860135/2015","EPI_ISL_203371",2015.703,"England","3C.2a","GISAID"
"690","A/Alaska/140/2015","EPI_ISL_200995",2015.61,"Alaska","3C.2a","GISAID"
"691","A/PassoFundo/LACENRS-1854/2015","EPI_ISL_263376",2015.549,"PassoFundo","3C.2a","GISAID"
"692","A/Finland/526/2015","EPI_ISL_190910",2015.281,"Finland","3C.2a","GISAID"
"693","A/SaoPaulo/3-32002/2015","EPI_ISL_190645",2015.388,"SaoPaulo","3C.2a","GISAID"
"694","A/Vietnam/GS150761/2015","EPI_ISL_215802",2015.719,"Vietnam","3C.2a","GISAID"
"695","A/Vietnam/GS151050/2015","EPI_ISL_213028",2015.826,"Vietnam","3C.2a","GISAID"
"696","A/Vietnam/6058/2016","EPI_ISL_259151",2016.392,"Vietnam","3C.2a","GISAID"
"697","A/Tokyo/16335/2016","EPI_ISL_239609",2016.706,"Tokyo","3C.2a","GISAID"
"698","A/Vietnam/6038/2016","EPI_ISL_259154",2016.515,"Vietnam","3C.2a","GISAID"
"699","A/Yunnan-Wenshan/1893/2015","EPI_ISL_207621",2015.856,"Yunnan-Wenshan","3C.2a","GISAID"
"700","A/Kazakhstan/53/2015","EPI_ISL_207403",2015.897,"Kazakhstan","3C.2a","GISAID"
"701","A/Singapore/TT1319/2015","EPI_ISL_13046494",2015.933,"Singapore","3C.2a","GISAID"
"702","A/Vietnam/157/2015","EPI_ISL_215657",2015.582,"Vietnam","3C.2a","GISAID"
"703","A/Yunnan-Linxiang/1718/2016","EPI_ISL_230739",2016.439,"Yunnan-Linxiang","3C.2a","GISAID"
"704","A/NewYork/78/2016","EPI_ISL_226805",2016.318,"NewYork","3C.2a","GISAID"
"705","A/Vietnam/172/2015","EPI_ISL_212375",2015.848,"Vietnam","3C.2a","GISAID"
"706","A/Xinjiang-Tianshan/1287/2016","EPI_ISL_242574",2016.097,"Xinjiang-Tianshan","3C.2a","GISAID"
"707","A/Bangladesh/5008/2015","EPI_ISL_219105",2015.782,"Bangladesh","3C.2a","GISAID"
"708","A/Portugal/SU439/2016","EPI_ISL_231812",2016.081,"Portugal","3C.2a","GISAID"
"709","A/SriLanka/63/2015","EPI_ISL_239829",2016.086,"SriLanka","3C.2a","GISAID"
"710","A/Italy-FVG/105/2015","EPI_ISL_215856",2015.9,"Italy-FVG","3C.2a","GISAID"
"711","A/Tsaralalana/2054/2016","EPI_ISL_231822",2016.335,"Tsaralalana","3C.2a","GISAID"
"712","A/Santiago/24151/2016","EPI_ISL_231676",2016.277,"Santiago","3C.2a","GISAID"
"713","A/Victoria/7/2016","EPI_ISL_233277",2016.43,"Victoria","3C.2a","GISAID"
"714","A/Kyiv/641/2016","EPI_ISL_225045",2016.228,"Kyiv","3C.2a","GISAID"
"715","A/Tajikistan/15/2016","EPI_ISL_232875",2016.28,"Tajikistan","3C.2a","GISAID"
"716","A/Kenya/23/2016","EPI_ISL_261481",2016.78,"Kenya","3C.2a","GISAID"
"717","A/Dnipro/767/2016","EPI_ISL_225050",2016.346,"Dnipro","3C.2a","GISAID"
"718","A/Dnipro/764/2016","EPI_ISL_224535",2016.247,"Dnipro","3C.2a","GISAID"
"719","A/Seoul/1595/2015","EPI_ISL_253939",2015.692,"Seoul","3C.2a","GISAID"
"720","A/Tianjin-Baodi/1165/2017","EPI_ISL_270722",2017.163,"Tianjin-Baodi","3C.2a","GISAID"
"721","A/Kawasaki/109/2016","EPI_ISL_236851",2016.526,"Kawasaki","3C.2a2","GISAID"
"722","A/SakonNakhon/282/2017","EPI_ISL_277531",2017.588,"SakonNakhon","3C.2a2","GISAID"
"723","A/Trang/51/2017","EPI_ISL_277538",2017.39,"Trang","3C.2a2","GISAID"
"724","A/Trang/87/2017","EPI_ISL_277539",2017.464,"Trang","3C.2a2","GISAID"
"725","A/Shandong-Zhifu/164/2017","EPI_ISL_279435",2017.103,"Shandong-Zhifu","3C.2a2","GISAID"
"726","A/Washington/16/2017","EPI_ISL_275706",2017.067,"Washington","3C.2a2","GISAID"
"727","A/London/17U056107-57_S9_L001/2017","EPI_ISL_274884",2017.004,"London","3C.2a2","GISAID"
"728","A/Norway/4465/2016-egg","EPI_ISL_239788",2016.851,"Norway","3C.2a2","GISAID"
"729","A/Norway/4861/2016","EPI_ISL_242807",2016.911,"Norway","3C.2a2","GISAID"
"730","A/Brisbane/318/2016","EPI_ISL_249207",2016.947,"Brisbane","3C.2a2","GISAID"
"731","A/Brisbane/321/2016","EPI_ISL_249201",2016.966,"Brisbane","3C.2a2","GISAID"
"732","A/Victoria/1/2017","EPI_ISL_269376",2017.193,"Victoria","3C.2a2","GISAID"
"733","A/Shimane/112/2017","EPI_ISL_304122",2017.897,"Shimane","3C.2a2","GISAID"
"734","A/Zhejiang-Jiaojiang/1255/2017","EPI_ISL_278727",2017.281,"Zhejiang-Jiaojiang","3C.2a2","GISAID"
"735","A/Lithuania/7906/2017","EPI_ISL_274555",2017.177,"Lithuania","3C.2a2","GISAID"
"736","A/HongKong/247/2017","EPI_ISL_259138",2017.021,"HongKong","3C.2a2","GISAID"
"737","A/Norway/995/2017","EPI_ISL_267746",2017.119,"Norway","3C.2a2","GISAID"
"738","A/HongKong/2302/2016","EPI_ISL_259079",2016.575,"HongKong","3C.2a2","GISAID"
"739","A/Luxembourg/17011309/2017","EPI_ISL_263020",2017.16,"Luxembourg","3C.2a2","GISAID"
"740","A/Yokohama/131/2017","EPI_ISL_267067",2017.286,"Yokohama","3C.2a2","GISAID"
"741","A/Yunnan-Xianggelila/1708/2017","EPI_ISL_334630",2017.867,"Yunnan-Xianggelila","3C.2a2","GISAID"
"742","A/Yunnan-Xianggelila/1375/2017","EPI_ISL_278717",2017.393,"Yunnan-Xianggelila","3C.2a2","GISAID"
"743","A/NorthCarolina/4/2017","EPI_ISL_250056",2017.07,"NorthCarolina","3C.2a2","GISAID"
"744","A/Zambia/305/2017","EPI_ISL_294256",2017.867,"Zambia","3C.2a2","GISAID"
"745","A/Nebraska/2/2017","EPI_ISL_248141",2017.026,"Nebraska","3C.2a2","GISAID"
"746","A/Wisconsin/19/2017-egg","EPI_ISL_272944",2017.062,"Wisconsin","3C.2a2","GISAID"
"747","A/Portugal/SU113/2017","EPI_ISL_297351",2017.988,"Portugal","3C.2a2","GISAID"
"748","A/Peru/3817/2017","EPI_ISL_311632",2017.933,"Peru","3C.2a2","GISAID"
"749","A/Denmark/98/2017","EPI_ISL_299027",2017.968,"Denmark","3C.2a2","GISAID"
"750","A/Dnipro/416/2018","EPI_ISL_320352",2018.311,"Dnipro","3C.2a2","GISAID"
"751","A/Tyumen/RII-2/2018","EPI_ISL_330889",2018.442,"Tyumen","3C.2a2","GISAID"
"752","A/HongKong/675/2018","EPI_ISL_312269",2018.273,"HongKong","3C.2a2","GISAID"
"753","A/Moscow/149/2018","EPI_ISL_320293",2018.275,"Moscow","3C.2a2","GISAID"
"754","A/Suriname/2354/2017","EPI_ISL_296501",2017.925,"Suriname","3C.2a2","GISAID"
"755","A/VinaDelMar/60406/2018","EPI_ISL_330249",2018.555,"VinaDelMar","3C.2a2","GISAID"
"756","A/Townsville/1000/2018","EPI_ISL_314622",2018.127,"Townsville","3C.2a2","GISAID"
"757","A/Bretagne/1413/2017","EPI_ISL_283128",2017.771,"Bretagne","3C.2a2","GISAID"
"758","A/Bretagne/1565/2017-egg","EPI_ISL_319714",2017.889,"Bretagne","3C.2a2","GISAID"
"759","A/PuertoRico/21/2018","EPI_ISL_330486",2018.492,"PuertoRico","3C.2a2","GISAID"
"760","A/Netherlands/744/2018","EPI_ISL_309301",2018.042,"Netherlands","3C.2a2","GISAID"
"761","A/Switzerland/8060/2017","EPI_ISL_294252",2017.971,"Switzerland","3C.2a2","GISAID"
"762","A/Switzerland/8060/2017-egg","EPI_ISL_331821",2017.971,"Switzerland","3C.2a2","GISAID"
"763","A/Brazil/8164/2017","EPI_ISL_303218",2017.725,"Brazil","3C.2a2","GISAID"
"764","A/Uruguay/170/2017","EPI_ISL_275722",2017.412,"Uruguay","3C.2a2","GISAID"
"765","A/MinasGerais/39/2018","EPI_ISL_309024",2018.034,"MinasGerais","3C.2a2","GISAID"
"766","A/Brisbane/117/2018","EPI_ISL_322718",2018.568,"Brisbane","3C.2a2","GISAID"
"767","A/Sydney/93/2018","EPI_ISL_322734",2018.423,"Sydney","3C.2a2","GISAID"
"768","A/Swansea/5352/2017","EPI_ISL_302462",2017.579,"Swansea","3C.2a2","GISAID"
"769","A/NewZealand/783/2017","EPI_ISL_275796",2017.511,"NewZealand","3C.2a2","GISAID"
"770","A/NewMexico/14/2018","EPI_ISL_309018",2018.147,"NewMexico","3C.2a2","GISAID"
"771","A/Iceland/8/2018","EPI_ISL_297334",2018.01,"Iceland","3C.2a2","GISAID"
"772","A/PuntaArena/55840/2017","EPI_ISL_282011",2017.547,"PuntaArena","3C.2a2","GISAID"
"773","A/PaysDeLoire/1621/2017","EPI_ISL_290107",2017.911,"PaysDeLoire","3C.2a2","GISAID"
"774","A/Paraguay/9159/2018","EPI_ISL_330977",2018.193,"Paraguay","3C.2a2","GISAID"
"775","A/Arizona/37/2018","EPI_ISL_320278",2018.396,"Arizona","3C.2a2","GISAID"
"776","A/Wisconsin/335/2017","EPI_ISL_291681",2017.851,"Wisconsin","3C.2a2","GISAID"
"777","A/Nnewfoundland/RV1805/2018","EPI_ISL_313510",2018.097,"Nnewfoundland","3C.2a2","GISAID"
"778","A/Ross-on-Wye/7865/2018","EPI_ISL_313958",2018.004,"Ross-on-Wye","3C.2a2","GISAID"
"779","A/Perugia/14/2018","EPI_ISL_316614",2018.042,"Perugia","3C.2a2","GISAID"
"780","A/Miyazaki/72/2018","EPI_ISL_330084",2018.5,"Miyazaki","3C.2a2","GISAID"
"781","A/Brisbane/1/2018-egg","EPI_ISL_309027",2018.004,"Brisbane","3C.2a2","GISAID"
"782","A/Taiwan/80650/2018","EPI_ISL_331204",2018.393,"Taiwan","3C.2a2","GISAID"
"783","A/Taiwan/81136/2018","EPI_ISL_344660",2018.856,"Taiwan","3C.2a2","GISAID"
"784","A/Yokohama/80/2018","EPI_ISL_319631",2018.251,"Yokohama","3C.2a2","GISAID"
"785","A/Peru/769818/2018","EPI_ISL_349901",2018.807,"Peru","3C.2a2","GISAID"
"786","A/Rancagua/54068/2018","EPI_ISL_330284",2018.486,"Rancagua","3C.2a2","GISAID"
"787","A/Bahrain/449/2018","EPI_ISL_330925",2018.604,"Bahrain","3C.2a2","GISAID"
"788","A/Valdiva/100553/2018","EPI_ISL_351875",2018.944,"Valdiva","3C.2a2","GISAID"
"789","A/Conception/32368/2018","EPI_ISL_315785",2018.292,"Conception","3C.2a2","GISAID"
"790","A/Loei/1152/2018","EPI_ISL_331064",2018.462,"Loei","3C.2a2","GISAID"
"791","A/Wakayama/62/2018","EPI_ISL_314314",2018.086,"Wakayama","3C.2a2","GISAID"
"792","A/Sakha/2V/2018","EPI_ISL_332796",2018.914,"Sakha","3C.2a2","GISAID"
"793","A/Yasothon/21/2019","EPI_ISL_390913",2019.007,"Yasothon","3C.2a2","GISAID"
"794","A/AltoHospicio/37840/2018","EPI_ISL_319719",2018.297,"AltoHospicio","3C.2a2","GISAID"
"795","A/Yokohama/100/2018","EPI_ISL_332409",2018.738,"Yokohama","3C.2a2","GISAID"
"796","A/Estonia/113466/2018","EPI_ISL_320613",2018.24,"Estonia","3C.2a2","GISAID"
"797","A/Townsville/10/2018","EPI_ISL_320402",2018.412,"Townsville","3C.2a2","GISAID"
"798","A/SuratThani/83/2018","EPI_ISL_329807",2018.251,"SuratThani","3C.2a2","GISAID"
"799","A/Yokohama/85/2018","EPI_ISL_319637",2018.355,"Yokohama","3C.2a2","GISAID"
"800","A/Yokohama/68/2018","EPI_ISL_316105",2018.204,"Yokohama","3C.2a2","GISAID"
"801","A/Brisbane/1/2018","EPI_ISL_299662",2018.004,"Brisbane","3C.2a2","GISAID"
"802","A/Brisbane/36/2018","EPI_ISL_313812",2018.226,"Brisbane","3C.2a2","GISAID"
"803","A/Philippines/464/2018","EPI_ISL_322958",2018.344,"Philippines","3C.2a2","GISAID"
"804","A/Victoria/731/2018","EPI_ISL_331780",2018.692,"Victoria","3C.2a2","GISAID"
"805","A/Victoria/901/2018","EPI_ISL_330732",2018.642,"Victoria","3C.2a2","GISAID"
"806","A/Victoria/909/2018","EPI_ISL_332743",2018.821,"Victoria","3C.2a2","GISAID"
"807","A/Yokohama/111/2018","EPI_ISL_333925",2018.801,"Yokohama","3C.2a2","GISAID"
"808","A/Taiwan/81101/2018","EPI_ISL_348186",2018.812,"Taiwan","3C.2a2","GISAID"
"809","A/Taiwan/80749/2018","EPI_ISL_322130",2018.514,"Taiwan","3C.2a2","GISAID"
"810","A/HongKong/656/2018","EPI_ISL_312267",2018.264,"HongKong","3C.2a2","GISAID"
"811","A/Wisconsin/4/2018","EPI_ISL_305059",2018.004,"Wisconsin","3C.2a2","GISAID"
"812","A/Virginia/24/2018","EPI_ISL_320358",2018.199,"Virginia","3C.2a2","GISAID"
"813","A/Sweden/41/2018","EPI_ISL_310256",2018.212,"Sweden","3C.2a2","GISAID"
"814","A/St-Etienne/1913/2018","EPI_ISL_345742",2018.703,"St-Etienne","3C.2a2","GISAID"
"815","A/Tochigi/18136/2018","EPI_ISL_330081",2018.426,"Tochigi","3C.2a2","GISAID"
"816","A/Yamaguchi/28/2015","EPI_ISL_208245",2015.933,"Yamaguchi","3C.2a","GISAID"
"817","A/Brisbane/197/2015","EPI_ISL_287813",2015.856,"Brisbane","3C.2a","GISAID"
"818","A/Wakayama-C/103/2015","EPI_ISL_201632",2015.489,"Wakayama-C","3C.2a","GISAID"
"819","A/Bulgaria/696/2016","EPI_ISL_218963",2016.143,"Bulgaria","3C.2a","GISAID"
"820","A/Victoria/2015/2016","EPI_ISL_233819",2016.204,"Victoria","3C.2a","GISAID"
