"","Isolate","Accession_number","Collection_time","Location","Global_clade","Source"
"106","A/Santiago/14696/2012","EPI_ISL_119711",2012.165,"Santiago","","GISAID"
"107","A/Suriname/297/2012","EPI_ISL_127834",2012.406,"Suriname","","GISAID"
"108","A/Tunisia/13092/2011","EPI_ISL_99879",2011.719,"Tunisia","","GISAID"
"109","A/Jordan/20110030655/2011","EPI_ISL_107865",2011.832,"Jordan","","GISAID"
"110","A/Tiznit/167/2011","EPI_ISL_103284",2011.985,"Tiznit","","GISAID"
"111","A/Tsiroanomandidy/3540/2012","EPI_ISL_141687",2012.425,"Tsiroanomandidy","","GISAID"
"112","A/NosyBe/429/2013","EPI_ISL_145531",2013.114,"NosyBe","","GISAID"
"113","A/Vietnam/NT12-471/2012","EPI_ISL_151418",2012.54,"Vietnam","","GISAID"
"114","A/Vietnam/13VH3-2/2012","EPI_ISL_173299",2012.99,"Vietnam","","GISAID"
"115","A/Southauckland/7/2012","EPI_ISL_128654",2012.452,"Southauckland","","GISAID"
"116","A/Tasmania/1/2012","EPI_ISL_121690",2012.138,"Tasmania","","GISAID"
"117","A/Bangladesh/1621/2012","EPI_ISL_132113",2012.734,"Bangladesh","","GISAID"
"118","A/India/7459/2011","EPI_ISL_105769",2011.87,"India","","GISAID"
"119","A/Tokushima/10/2011","EPI_ISL_101349",2011.873,"Tokushima","","GISAID"
"120","A/Oman/916/2011","EPI_ISL_98822",2011.568,"Oman","","GISAID"
"121","A/HongKong/5063/2011","EPI_ISL_103755",2011.966,"HongKong","","GISAID"
"122","A/Bangladesh/4/2012","EPI_ISL_260564",2012.638,"Bangladesh","","GISAID"
"123","A/Yokohama/125/2012","EPI_ISL_121263",2012.179,"Yokohama","","GISAID"
"124","A/Washington/17/2011","EPI_ISL_98648",2011.703,"Washington","","GISAID"
"125","A/Texas/12/2011","EPI_ISL_99116",2011.79,"Texas","","GISAID"
"126","A/England/565/2012","EPI_ISL_132008",2012.414,"England","","GISAID"
"127","A/Uttarakhand/8853/2011","EPI_ISL_161475",2011.451,"Uttarakhand","3C","GISAID"
"128","A/Thailand/CU-B7992/2013","EPI_ISL_205428",2013.442,"Thailand","3C","GISAID"
"129","A/Thailand/PY10316/2011","EPI_ISL_208787",2011.604,"Thailand","3C","GISAID"
"130","A/Thailand/CU-C2417/2011","EPI_ISL_205351",2011.936,"Thailand","3C","GISAID"
"131","A/Murmansk/RII06/2012","EPI_ISL_135914",2012.346,"Murmansk","3C","GISAID"
"132","A/Yokohama/150/2011","EPI_ISL_100519",2011.799,"Yokohama","3C","GISAID"
"133","A/Victoria/361/2011","EPI_ISL_167307",2011.812,"Victoria","3C","GISAID"
"134","A/Singapore/KK171/2011","EPI_ISL_122974",2011.325,"Singapore","3C","GISAID"
"135","A/Shandong-Tianqiao/1188/2011","EPI_ISL_100823",2011.722,"Shandong-Tianqiao","3C","GISAID"
"136","A/Taiwan/1328/2011","EPI_ISL_94774",2011.344,"Taiwan","3C","GISAID"
"137","A/Thailand/SR08183/2011","EPI_ISL_208804",2011.459,"Thailand","3C","GISAID"
"138","A/Shanghai-Songjiang/154/2012","EPI_ISL_116071",2012.023,"Shanghai-Songjiang","3C","GISAID"
"139","A/Taiwan/607/2012","EPI_ISL_122134",2012.332,"Taiwan","3C","GISAID"
"140","A/Thailand/CU-B5873/2011","EPI_ISL_205348",2011.812,"Thailand","3C","GISAID"
"141","A/Yokosuka/1/2012","EPI_ISL_113367",2012.042,"Yokosuka","3C","GISAID"
"142","A/Norway/97/2012","EPI_ISL_107883",2012.004,"Norway","3C","GISAID"
"143","A/Taiwan/194/2012","EPI_ISL_122211",2012.122,"Taiwan","3C","GISAID"
"144","A/Yokohama/157/2011","EPI_ISL_103626",2011.979,"Yokohama","3C","GISAID"
"145","A/Voronezh/2/2012","EPI_ISL_122173",2012.316,"Voronezh","3C","GISAID"
"146","A/Voronezh/RII03/2012","EPI_ISL_135909",2012.206,"Voronezh","3C","GISAID"
"147","A/Townsville/1/2012","EPI_ISL_121691",2012.056,"Townsville","3C","GISAID"
"148","A/Texas/50/2012-egg","EPI_ISL_129744",2012.288,"Texas","3C","GISAID"
"149","A/Texas/50/2012","EPI_ISL_122006",2012.288,"Texas","3C","GISAID"
"150","A/VinaDelMar/49586/2012","EPI_ISL_128995",2012.526,"VinaDelMar","3C","GISAID"
"151","A/Hawaii/22/2012","EPI_ISL_129745",2012.52,"Hawaii","3C","GISAID"
"152","A/Taiwan/1488/2011","EPI_ISL_101342",2011.881,"Taiwan","3C","GISAID"
"153","A/Tyumen/3/2012","EPI_ISL_132371",2012.083,"Tyumen","3C","GISAID"
"154","A/Thailand/SN11650/2011","EPI_ISL_208792",2011.716,"Thailand","3C","GISAID"
"155","A/Austria/111/2012","EPI_ISL_122350",2012.551,"Austria","3C","GISAID"
"156","A/Slovenia/599/2012","EPI_ISL_121964",2012.157,"Slovenia","3C","GISAID"
"157","A/Thailand/CU-B5928/2011","EPI_ISL_205350",2011.873,"Thailand","3C","GISAID"
"158","A/Hyogo/1068/2011","EPI_ISL_97052",2011.555,"Hyogo","3C","GISAID"
"159","A/Thailand/KS10406/2011","EPI_ISL_208777",2011.563,"Thailand","3C","GISAID"
"160","A/Singapore/29/2012","EPI_ISL_128668",2012.228,"Singapore","3C","GISAID"
"161","A/Yamagata/257/2012","EPI_ISL_122206",2012.316,"Yamagata","3C","GISAID"
"162","A/Yokohama/152/2012","EPI_ISL_129034",2012.559,"Yokohama","3C","GISAID"
"163","A/Taiwan/876/2012","EPI_ISL_132582",2012.49,"Taiwan","3C","GISAID"
"164","A/Southaustralia/23/2012","EPI_ISL_122544",2012.329,"Southaustralia","3C","GISAID"
"165","A/Zhejiang-Wuxin/130/2015","EPI_ISL_178035",2015.018,"Zhejiang-Wuxin","3C","GISAID"
"166","A/Zhejiang-Nanxun/1614/2014","EPI_ISL_169737",2014.59,"Zhejiang-Nanxun","3C","GISAID"
"167","A/Stockholm/25/2011","EPI_ISL_99212",2011.667,"Stockholm","3C","GISAID"
"168","A/Denmark/87/2011","EPI_ISL_107844",2011.675,"Denmark","3C","GISAID"
"169","A/Yokohama/145/2011","EPI_ISL_100513",2011.684,"Yokohama","3C","GISAID"
"170","A/Thailand/CU-B6274/2012","EPI_ISL_205356",2012.474,"Thailand","3C","GISAID"
"171","A/Vietnam/51/2012","EPI_ISL_133062",2012.154,"Vietnam","3C","GISAID"
"172","A/Taiwan/216/2012","EPI_ISL_122212",2012.165,"Taiwan","3C","GISAID"
"173","A/Hanoi/DN353/2011","EPI_ISL_17264840",2012.337,"Hanoi","3C","GISAID"
