"","Isolate","Accession_number","Collection_time","Country","Continent","Genotype","Source","Collection_year"
"87","FR4698","ERR5102015","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"88","FR4868","ERR5102016","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"89","FR4873","ERR5102017","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"90","FR4882","ERR5102018","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"91","FR4913","ERR5102019","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"92","FR4916","ERR5102020","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"93","FR4923","ERR5102021","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"94","FR4937","ERR5102022","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"95","FR4947","ERR5102023","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"96","FR4950","ERR5102024","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"97","FR4952","ERR5102025","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"98","FR4953","ERR5102026","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"99","FR4963","ERR5102027","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"100","FR4964","ERR5102028","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"101","FR5001","ERR5102029","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"102","FR5018","ERR5102030","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"103","FR5027","ERR5102031","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"104","FR5043","ERR5102032","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"105","FR5126","ERR5102033","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"106","FR5186","ERR5102034","2012","France","Europe","ptxP1/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"107","FR5187","ERR5102035","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"108","FR5189","ERR5102036","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"109","FR5224","ERR5102037","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"110","FR5256","ERR5102038","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"111","FR5257","ERR5102039","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"112","FR5259","ERR5102040","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"113","FR5261","ERR5102041","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"114","FR5290","ERR5102042","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"115","FR5299","ERR5102043","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"116","FR5302","ERR5102044","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"117","FR5308","ERR5102045","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"118","FR5317","ERR5102046","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"119","FR5345","ERR5102047","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"120","FR5347","ERR5102048","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"121","FR5363","ERR5102049","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"122","FR5388","ERR5102050","2012","France","Europe","ptxP3/fim3-1","Hegerle et. al. (2014)",NA
"123","FR5391","ERR5102051","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"124","FR5394","ERR5102052","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"125","FR5433","ERR5102053","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"126","FR5461","ERR5102054","2013","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"127","FR5465","ERR5102055","2013","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"128","FR5477","ERR5102056","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"129","FR5478","ERR5102057","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"130","FR5481","ERR5102058","2013","France","Europe","ptxP3/fim3-2","NCBI",NA
"131","FR5490","ERR5102059","2013","France","Europe","ptxP3/fim3-1","NCBI",NA
"132","FR5495","ERR5102060","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"133","FR5506","ERR5102061","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"134","FR5516","ERR5102062","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"135","FR5563","ERR5102063","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"136","FR5570","ERR5102064","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
