"","Isolate","Accession_number","Collection_time","Country","Continent","Genotype","Source","Collection_year"
"487","FR4600","ERR6044310","2009","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"488","FR4602","ERR6044311","2009","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"489","FR4604","ERR6044312","2009","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"490","FR4633","ERR6044313","2010","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"491","FR4650","ERR6044314","2010","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"492","FR4651","ERR6044315","2010","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"493","FR4652","ERR6044316","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"494","FR4654","ERR6044317","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"495","FR4655","ERR6044318","2010","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"496","FR4656","ERR6044319","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"497","FR4659","ERR6044320","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"498","FR4660","ERR6044321","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"499","FR4661","ERR6044322","2010","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"500","FR4666","ERR6044323","2010","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"501","FR4667","ERR6044325","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"502","FR4668","ERR6044326","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"503","FR4673","ERR6044327","2010","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"504","FR4674","ERR6044328","2010","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"505","FR4680","ERR6044329","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"506","FR4681","ERR6044330","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"507","FR4685","ERR6044331","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"508","FR4686","ERR6044332","2010","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"509","FR4687","ERR6044333","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"510","FR4693","ERR6044334","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"511","FR4696","ERR6044335","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"512","FR4697","ERR6044336","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"513","FR4699","ERR6044337","2010","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"514","FR4700","ERR6044338","2010","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"515","FR4702","ERR6044339","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"516","FR4703","ERR6044340","2010","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"517","FR4706","ERR6044341","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"518","FR4707","ERR6044342","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"519","FR4708","ERR6044343","2010","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"520","FR4710","ERR6044344","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"521","FR4717","ERR6044345","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"522","FR4718","ERR6044346","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"523","FR4719","ERR6044347","2010","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"524","FR4731","ERR6044348","2010","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"525","FR4732","ERR6044349","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"526","FR4734","ERR6044350","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"527","FR4736","ERR6044351","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"528","FR4740","ERR6044352","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"529","FR4803","ERR6044353","2010","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"530","FR4804","ERR6044354","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"531","FR4805","ERR6044355","2010","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"532","FR4806","ERR6044356","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"533","FR4807","ERR6044357","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"534","FR4808","ERR6044358","2011","France","Europe","Others","Lefrancq & Bouchez et al., 2022",NA
"535","FR4860","ERR6044359","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"536","FR4864","ERR6044360","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"537","FR4866","ERR6044361","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"538","FR4867","ERR6044362","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"539","FR4871","ERR6044363","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"540","FR4883","ERR6044364","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"541","FR4887","ERR6044365","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"542","FR4888","ERR6044366","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"543","FR4892","ERR6044367","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"544","FR4895","ERR6044368","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"545","FR4896","ERR6044369","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"546","FR4897","ERR6044370","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"547","FR4900","ERR6044371","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"548","FR4901","ERR6044372","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"549","FR4902","ERR6044373","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"550","FR4903","ERR6044374","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"551","FR4906","ERR6044375","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"552","FR4907","ERR6044376","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"553","FR4908","ERR6044377","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"554","FR4910","ERR6044378","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"555","FR4911","ERR6044379","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"556","FR4915","ERR6044380","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"557","FR4918","ERR6044381","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"558","FR4919","ERR6044382","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"559","FR4920","ERR6044383","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"560","FR4922","ERR6044384","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"561","FR4924","ERR6044385","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"562","FR4925","ERR6044386","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"563","FR4926","ERR6044387","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"564","FR4928","ERR6044388","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"565","FR4931","ERR6044389","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"566","FR4932","ERR6044390","2011","France","Europe","ptxP1/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"567","FR4934","ERR6044391","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"568","FR4935","ERR6044392","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"569","FR4936","ERR6044393","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"570","FR4939","ERR6044394","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"571","FR4940","ERR6044395","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"572","FR4941","ERR6044396","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"573","FR4942","ERR6044397","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"574","FR4943","ERR6044398","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"575","FR4944","ERR6044399","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"576","FR4946","ERR6044400","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"577","FR4949","ERR6044401","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"578","FR4954","ERR6044402","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"579","FR4955","ERR6044403","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"580","FR4956","ERR6044404","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"581","FR4957","ERR6044405","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"582","FR4958","ERR6044406","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"583","FR4959","ERR6044407","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"584","FR4960","ERR6044408","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"585","FR4961","ERR6044409","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"586","FR4962","ERR6044410","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"587","FR4965","ERR6044411","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"588","FR4967","ERR6044412","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"589","FR4969","ERR6044413","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"590","FR4970","ERR6044414","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"591","FR4972","ERR6044415","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"592","FR4979","ERR6044416","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"593","FR4980","ERR6044417","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"594","FR4981","ERR6044418","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"595","FR4984","ERR6044419","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"596","FR4987","ERR6044420","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"597","FR4988","ERR6044421","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"598","FR4989","ERR6044422","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"599","FR4990","ERR6044423","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"600","FR4992","ERR6044504","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"601","FR4993","ERR6044505","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"602","FR4994","ERR6044506","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"603","FR4995","ERR6044507","2011","France","Europe","Others","Lefrancq & Bouchez et al., 2022",NA
"604","FR4996","ERR6044508","2011","France","Europe","Others","Lefrancq & Bouchez et al., 2022",NA
"605","FR4998","ERR6044509","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"606","FR4999","ERR6044510","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"607","FR5000","ERR6044511","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"608","FR5002","ERR6044512","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"609","FR5003","ERR6044513","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"610","FR5005","ERR6044514","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"611","FR5006","ERR6044515","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"612","FR5010","ERR6044516","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"613","FR5013","ERR6044517","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"614","FR5014","ERR6044518","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"615","FR5017","ERR6044519","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"616","FR5019","ERR6044520","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"617","FR5025","ERR6044521","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"618","FR5028","ERR6044522","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"619","FR5031","ERR6044523","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"620","FR5032","ERR6044524","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"621","FR5033","ERR6044525","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"622","FR5034","ERR6044526","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"623","FR5035","ERR6044527","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"624","FR5036","ERR6044528","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"625","FR5037","ERR6044529","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"626","FR5038","ERR6044530","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"627","FR5039","ERR6044531","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"628","FR5040","ERR6044532","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"629","FR5045","ERR6044533","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"630","FR5046","ERR6044534","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"631","FR5047","ERR6044535","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"632","FR5069","ERR6044536","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"633","FR5081","ERR6044537","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"634","FR5082","ERR6044538","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"635","FR5085","ERR6044539","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"636","FR5086","ERR6044540","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"637","FR5088","ERR6044541","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"638","FR5127","ERR6044542","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"639","FR5128","ERR6044543","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"640","FR5129","ERR6044544","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"641","FR5130","ERR6044545","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"642","FR5131","ERR6044546","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"643","FR5132","ERR6044547","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"644","FR5133","ERR6044548","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"645","FR5134","ERR6044549","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"646","FR5135","ERR6044550","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"647","FR5136","ERR6044551","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"648","FR5291","ERR6044600","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"649","FR5298","ERR6044601","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"650","FR5300","ERR6044602","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"651","FR5301","ERR6044603","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"652","FR5303","ERR6044604","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"653","FR5304","ERR6044605","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"654","FR5305","ERR6044606","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"655","FR5306","ERR6044607","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"656","FR5309","ERR6044608","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"657","FR5310","ERR6044609","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"658","FR5311","ERR6044610","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"659","FR5312","ERR6044611","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"660","FR5313","ERR6044612","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"661","FR5314","ERR6044613","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"662","FR5318","ERR6044614","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"663","FR5319","ERR6044615","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"664","FR5320","ERR6044616","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"665","FR5321","ERR6044617","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"666","FR5324","ERR6044618","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"667","FR5325","ERR6044619","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"668","FR5326","ERR6044620","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"669","FR5329","ERR6044621","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"670","FR5331","ERR6044622","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"671","FR5332","ERR6044623","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"672","FR5333","ERR6044624","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"673","FR5336","ERR6044625","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"674","FR5337","ERR6044626","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"675","FR5338","ERR6044627","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"676","FR5339","ERR6044628","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"677","FR5340","ERR6044629","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"678","FR5344","ERR6044630","2012","France","Europe","Others","Lefrancq & Bouchez et al., 2022",NA
"679","FR5346","ERR6044631","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"680","FR5351","ERR6044632","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"681","FR5352","ERR6044633","2012","France","Europe","Others","Lefrancq & Bouchez et al., 2022",NA
"682","FR5353","ERR6044634","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"683","FR5354","ERR6044635","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"684","FR5355","ERR6044636","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"685","FR5356","ERR6044637","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"686","FR5357","ERR6044638","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"687","FR5358","ERR6044639","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"688","FR5359","ERR6044640","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"689","FR5360","ERR6044641","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"690","FR5361","ERR6044642","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"691","FR5362","ERR6044643","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"692","FR5367","ERR6044644","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"693","FR5390","ERR6044645","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"694","FR5392","ERR6044646","2012","France","Europe","ptxP3/fim3-2","Hegerle et. al. (2014)",NA
"695","FR5395","ERR6044647","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"696","FR5396","ERR6044648","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"697","FR5401","ERR6044649","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"698","FR5402","ERR6044650","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"699","FR5403","ERR6044651","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"700","FR5404","ERR6044652","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"701","FR5406","ERR6044653","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"702","FR5407","ERR6044654","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"703","FR5408","ERR6044655","2013","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"704","FR5410","ERR6044656","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"705","FR5412","ERR6044657","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"706","FR5413","ERR6044658","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"707","FR5414","ERR6044659","2013","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"708","FR5415","ERR6044660","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"709","FR5416","ERR6044661","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"710","FR5429","ERR6044662","2013","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"711","FR5430","ERR6044663","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"712","FR5432","ERR6044664","2013","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"713","FR5434","ERR6044665","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"714","FR5436","ERR6044666","2013","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"715","FR5447","ERR6044667","2013","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"716","FR5450","ERR6044668","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"717","FR5451","ERR6044669","2013","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"718","FR5452","ERR6044670","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"719","FR5453","ERR6044671","2013","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"720","FR5454","ERR6044672","2013","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"721","FR5457","ERR6044673","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"722","FR5458","ERR6044674","2013","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"723","FR5462","ERR6044675","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"724","FR5466","ERR6044676","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"725","FR5467","ERR6044677","2013","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"726","FR5468","ERR6044678","2013","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"727","FR5469","ERR6044679","2013","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
